companyLabel,executiveLabel,universityLabel,degreeLabel
Globcal International,David J. Wright,California State University,master's degree
GSK,Emma Walmsley,University of Oxford,
Johnson & Johnson,Alex Gorsky,The Wharton School,
Proton,Andy Yen,Harvard University,
Arsari Tirta Pradana,Thomas Djiwandono,Canisius College,
CoinFlip,Daniel Polotsky,Northwestern University,
Vertex Pharmaceuticals,Reshma Kewalramani,Harvard University,
Erste Group,Peter Bosek,University of Vienna,
Polish State Railways,Krzysztof Mamiński,University of Szczecin,
Aalborg Portland,Søren Holm Christensen,Aalborg University,
Z Intermediate Global Corporation,Takeshi Idezawa,Waseda University,
National Bank of Czechoslovakia,Karel Engliš,"Faculty of Law, Charles University in Prague",professor
National Bank of Czechoslovakia,Vilém Pospíšil,Charles University,
Proton,Andy Yen,California Institute of Technology,
Viatris,Scott A. Smith,Thunderbird School of Global Management,
Merck & Co.,Rob Davis,Northwestern University Pritzker School of Law,
Waymo,John Krafcik,Stanford University,
Aurora Studios,Petri Kemppinen,University of Helsinki,
Grupa Handlo-Budowa,Maciej Banach,Medical Academy of Łódź,professor
Arsari Tirta Pradana,Thomas Djiwandono,Paul H. Nitze School of Advanced International Studies,
Grupa Handlo-Budowa,Maciej Banach,Medical Academy of Łódź,doctorate
Grupa Handlo-Budowa,Maciej Banach,Medical Academy of Łódź,habilitation
Arsari Tirta Pradana,Thomas Djiwandono,Haverford College,
Q139837840,Werner Kirchert,Martin Luther University Halle-Wittenberg,Doctor of Medicine
EyeMail Inc.,Lisa S. Jones,Alabama A & M University,
Rio Tinto Group,Jean-Sébastien Jacques,École Centrale Paris,
Aalborg Portland,Søren Holm Christensen,Aarhus School of Business,
DiDi,Cheng Wei,Beijing University of Chemical Technology,
China Internet Plus,Wang Xing,Tsinghua University,
Q111534396,Ismaël Condé,University of Conakry,
Schulton,George L. Schultz,Princeton University,
SBI Holdings,Yoshitaka Kitao,"Faculty of Economics, University of Cambridge",
China Internet Plus,Wang Xing,University of Delaware,
Simon Property Group,David Simon,Columbia Business School,
Merck & Co.,Kenneth Frazier,Julia R. Masterman School,
Merck & Co.,Kenneth Frazier,Northeast High School,
Waymo,John Krafcik,MIT Sloan School of Management,
Eli Lilly and Company,John C. Lechleiter,Harvard University,
Gilead Sciences,Daniel O'Day,Columbia University,
Vertex Pharmaceuticals,Reshma Kewalramani,Boston University School of Medicine,
Johnson & Johnson,Alex Gorsky,United States Military Academy,
RCS MediaGroup,Urbano Cairo,Bocconi University,
Karunia Permai Sentosa,Donald J. Hermanus,Institut Bisnis dan Multimedia Asmi Jakarta,
Obi Nickel Cobalt,Donald J. Hermanus,Institut Bisnis dan Multimedia Asmi Jakarta,
China Auto Renting Inc.,Lu Zhengyao,University of Science and Technology Beijing,
Adimitra Baratama Nusantara,Hamid Awaludin,Hasanuddin University,
China Auto Renting Inc.,Lu Zhengyao,Peking University,
WHSmith,Richard Gordon Handover,Blundell's School,
GSK,Emma Walmsley,St Swithun's School,
Northern Norway Regional Health Authority,Cecilie Daae,FHS/Sjefskurs,
Eli Lilly and Company,John C. Lechleiter,St. Xavier High School,
Merck & Co.,Kenneth Frazier,Harvard Law School,
IBM,Arvind Krishna,Stanes Anglo Indian Higher Secondary School,
Eli Lilly and Company,Randall L. Tobias,Indiana University Kelley School of Business,
One97 Communications,Vijay Shekhar Sharma,Delhi Technological University,
An Túr Gloine,Sarah Purser,Académie Julian,
Sun Microsystems,Jonathan I. Schwartz,Bethesda-Chevy Chase High School,
Sun Microsystems,Jonathan I. Schwartz,Wesleyan University,
Fraport,Stefan Schulte,University of Cologne,
Eli Lilly and Company,John C. Lechleiter,Xavier University,
Merck & Co.,Kenneth Frazier,Pennsylvania State University,
John Lewis Partnership,Paula Nickolds,St Helen's School,
Waymo,John Krafcik,Southington High School,
Eli Lilly and Company,Randall L. Tobias,Duke University,
Gilead Sciences,Daniel O'Day,Georgetown University,
Northern Norway Regional Health Authority,Cecilie Daae,University of Oslo,
Hydea,Paolo Giustiniani,University of Florence,laurea
Waste Agency of Catalonia,Isaac Peraire Soler,University of Barcelona,
CEC Bank,Bogdan Neacșu,Bucharest University of Economic Studies,
Eli Lilly and Company,David A. Ricks,Indiana University,
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,University of Azad Jammu and Kashmir,Master of Arts
Hjo–Stenstorps Järnväg,Nils Posse,Ultuna lantbruksinstitut,
Västergötland–Göteborgs Järnvägar,John Nyström,Royal Institute of Technology,
Ringier,Marc Walder,Harvard Business School,
Abbott Laboratories,Robert B. Ford,Boston College,
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,University of Azad Jammu and Kashmir,Master of Philosophy
"Thermo Fisher Scientific Baltics, UAB",Viktoras Butkus,Vilnius University,
Smith & Nephew,Roland Diggelmann,University of Bern,
České dráhy,Michal Krapinec,"Faculty of Law, Charles University in Prague",
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,University of Azad Jammu and Kashmir,Bachelor of Arts
Stryker Corporation,Stephen P. MacMillan,Harvard University,
"Peters, Fraser & Dunlop",Caroline Michel,University of Edinburgh,
Statnett,Hilde Tonne,RWTH Aachen University,Master of Science in Engineering
Hjo–Stenstorps Järnväg,Fredrik von Essen,Military Academy Karlberg,
Smile Conseil,Q137863843,Paris North University,
Stryker Corporation,Stephen P. MacMillan,Davidson College,
Norsk Tipping AS,Thor Gjermund Eriksen,Bredtvet videregående skole,
Central Nippon Expressway Company,Yoshihito Miyaike,Nagoya University,
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,Mirpur University of Science and Technology,Doctor of Philosophy
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,Mirpur University of Science and Technology,Master of Arts
Medtronic plc,William A. Hawkins,Duke University,
Channel One Russia,Konstantin Ernst,"Faculty of Biology, Saint Petersburg State University",Candidate of Biology Sciences
Medtronic plc,William A. Hawkins,University of Virginia,
Medtronic plc,William A. Hawkins,University of Virginia Darden School of Business,
Vinmonopolet,Elisabeth Hunter,University of Strathclyde,
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,Mirpur University of Science and Technology,Master of Philosophy
Airbus,Guillaume Faury,Institut Supérieur de l'Aéronautique et de l'Espace,
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,University of Dodoma,Doctor of Philosophy
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,University of Dodoma,Master of Arts
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,Mirpur University of Science and Technology,Bachelor of Arts
Norsk Tipping AS,Åsne Havnelid,Q19384815,Q11965727
Gazprom,Alexey Miller,Saint Petersburg State University of Economics,Candidate of Economic Sciences
Airbus,Guillaume Faury,École polytechnique,
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,University of Dodoma,Master of Philosophy
Airbus,Guillaume Faury,IAE Aix-en-Provence,
Finavia,Kaarlo J. Temmes,California Institute of Technology,
Trollhättan - Nossebro railway line,John Nyström,Royal Institute of Technology,
WME Group,Ari Emanuel,Macalester College,
Sparebanken Vest,Jan Erik Kjerpeseth,Q19383511,
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,University of Dodoma,Bachelor of Arts
Norsk Tipping AS,Thor Gjermund Eriksen,University of Oslo,
Sparebanken Vest,Jan Erik Kjerpeseth,Heriot-Watt University,
Bertelsmann,Thomas Rabe,University of Cologne,Doctor
Rosneft,Igor Sechin,Saint Petersburg State University,Candidate of Economic Sciences
Abbott Laboratories,Miles D. White,Stanford University,
Stryker Corporation,Stephen P. MacMillan,Harvard Business School,
Norsk Tipping AS,Thor Gjermund Eriksen,BI Norwegian Business School,
Finavia,Kaarlo J. Temmes,Helsinki University of Technology,
Medtronic plc,Geoffrey S Martha,Pennsylvania State University,
"Thermo Fisher Scientific Baltics, UAB",Algimantas Markauskas,Vilnius University,
BMSG,Mitsuhiro Hidaka,Waseda University,
Stingh Management Group,Marzella Marzelle,Westchester Enriched Sciences Magnets,
TUARON,Anton Sova,Kyiv Slavonic University,
FNC Entertainment,Han Sung-ho,Myongji University,
Norwegian Broadcasting Corporation,Vibeke Fürst Haugen,University of Oslo,cand.mag.
Ferromex,Germán Larrea Mota-Velasco,Universidad Anáhuac,
"Thermo Fisher Scientific Baltics, UAB",Algimantas Markauskas,Palanga old gymnasium,
UK Financial Investments,James Leigh-Pemberton,Christ Church,
TUARON,Anton Sova,Stockholm University,
UK Financial Investments,James Leigh-Pemberton,Eton College,
BRAVE Management,Julie Deluz,Hochschule Mittweida,Bachelor of Arts
Yakutian Railway,Vasily Shimokhin,State University of Non-Ferrous Metals and Gold,
AOMG,Jay Park,Apgujeong High School,
Intrinio,Rachel Carpenter,University of Wisconsin–Madison,
Channel One Russia,Konstantin Ernst,Russian State Agricultural University,Candidate of Biology Sciences
Abbott Laboratories,Miles D. White,Culver Academies,
TUARON,Anton Sova,National University of Life and Environmental Sciences of Ukraine,
Medtronic plc,Omar Ishrak,King's College London,
TUARON,Anton Sova,Dalarna University,
Comisión Federal de Electricidad,Manuel Bartlett Díaz,National Autonomous University of Mexico,
Centenara Labs,Aksana A Labokha,International Sakharov Environmental University,
Centenara Labs,Aksana A Labokha,University of Göttingen,
apo.com Group NL B.V.,Oliver Scheel,University of Hamburg,
Sparebanken Vest,Jan Erik Kjerpeseth,Norwegian School of Economics,
Commerzbank AG,Bettina Orlopp,University of Regensburg,
AnyColor,Riku Tazumi,Waseda University,
Hojicha Co.,Francois Mathieu,HEC Montréal,
Government Pension Fund Norway,Kjetil Houg,University of Oslo,
Stryker Corporation,Homer Stryker,University of Michigan,
German Finance Agency,Jutta A. Dönges,Technical University of Darmstadt,Doctor of Political Science
Cameroon radio television,Florent Etoga Eily,General-Leclerc High School,
National Capital Commission,Tobi Nussbaum,Queen's University,
AOMG,Jay Park,Dankook University,
Lapinniemi cotton mill,Magnus Lavonius,Helsinki University of Technology,
AOMG,Jay Park,Edmonds Woodway High School,
Norsk Hydro,Hilde Merete Aasheim,Norwegian School of Economics,
Hojicha Co.,Francois Mathieu,Canadian Securities Institute,
"Thermo Fisher Scientific Baltics, UAB",Viktoras Butkus,Lomonosov Moscow State University,
TUARON,Anton Sova,Kyiv University of Culture,
Norwegian Broadcasting Corporation,Vibeke Fürst Haugen,Norwegian School of Economics,cand.mag.
Dogsbody Group,Chris Hirst,Harvard Business School,
Clash Creation,Joden Newman,University of East Anglia,
Stryker Corporation,Kevin A. Lobo,University of Toronto,
Metrorex,Mariana Miclăuș,Bucharest University of Economic Studies,
AOMG,Simon Dominic,Namsan High School,
Electrica,Alexandru Aurelian Chiriță,National School of Political and Administrative Studies,
Rosneft,Igor Sechin,Faculty of Philology of Saint Petersburg State University,Candidate of Economic Sciences
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,Lahore Leads University,Doctor of Philosophy
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,Lahore Leads University,Master of Arts
Statnett,Auke Lont,University of Amsterdam,
Bertelsmann,Thomas Rabe,RWTH Aachen University,Doctor
Arterial,Kyle Wandishin,Kirby Super Star Ultra,
Stryker Corporation,Homer Stryker,Western Michigan University,
Cameroon radio television,Florent Etoga Eily,University of Paris,
Statnett,Hilde Tonne,Norwegian University of Science and Technology,Master of Science in Engineering
National Capital Commission,Tobi Nussbaum,John F. Kennedy School of Government,
Electrica,Alexandru Aurelian Chiriță,University of Bucharest,
Stryker Corporation,Homer Stryker,University of Michigan Medical School,
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,Lahore Leads University,Master of Philosophy
Northway Biotech,Giedrius Žunda,Vilnius Gediminas Technical University,
"Thermo Fisher Scientific Baltics, UAB",Viktoras Butkus,Vilnius Antanas Vienuolis progymnasium,
Dogsbody Group,Chris Hirst,Brasenose College,
Xpertno Research Center (SMC Pvt. Ltd.),Nasir Razzaq,Lahore Leads University,Bachelor of Arts
Ferrovie dello Stato Italiane,Luigi Ferraris,University of Genoa,
Smile Conseil,Q137863843,INSEEC Business School,
Norwegian Broadcasting Corporation,Vibeke Fürst Haugen,Harvard University,cand.mag.
WME Group,Patrick Whitesell,Luther College,
Metrorex,Mariana Miclăuș,Universitatea Athenaeum,
Leonardo,Roberto Cingolani,University of Bari,
Medtronic plc,Omar Ishrak,Saint Joseph Higher Secondary School,
National Capital Commission,Tobi Nussbaum,University of Victoria Faculty of Law,
Q847141,Roberto Rinaudo,University of Bari,
"Thermo Fisher Scientific Baltics, UAB",Viktoras Butkus,Institute of Bioorganic Chemistry,
Tidaholms Järnväg,Valdemar Lindahl,Royal Institute of Technology,
Stryker Corporation,Kevin A. Lobo,McGill University,
ADOR,Min Hee-jin,Seoul Women's University,
Bane NOR,Agnete Johnsgaard-Lewis,University of Surrey,Master of Engineering
German Finance Agency,Jutta A. Dönges,Goethe University Frankfurt,Doctor of Political Science
Abbott Laboratories,Robert B. Ford,Haas School of Business,
