companyLabel,executiveLabel,universityLabel,degreeLabel
Dick's Sporting Goods,Q16885836,Pace University,
Port of Odesa,Ihor Tkachuk,National Academy of State Administration,
Eviny,Jannicke Hilland,University of Bergen,
Cendant,Henry Silverman,University of Pennsylvania Carey Law School,
Channel Four Television Corporation,Alex Mahon,Imperial College London,
Campaign for Better Transport,Michael Palin,Shrewsbury School,
Campaign for Better Transport,Michael Palin,Birkdale School,
Dick's Sporting Goods,Q16885836,St. John Fisher University,
Jimmy Choo Ltd,Pierre Denis,ESSEC Business School,
Do Something,Aria Finger,Washington University in St. Louis,
Daloon,Hemming Van,Copenhagen Business School,
DevGen,Thierry Bogaert,University of Manitoba,licentiate
Silicon Valley Bridge Bank,Timothy Mayopoulos,Cornell University,
DevGen,Thierry Bogaert,University of Manitoba,Master of Science
Techno Sky,Domenico Casalino,SIOI,master's degree
Cavium,Syed B. Ali,University of Michigan,
BioMarin Pharmaceutical,Jean Jacques Bienaime,ESCP Business School,
Eviny,Jannicke Hilland,Norwegian School of Economics,
BioMarin Pharmaceutical,Jean Jacques Bienaime,The Wharton School,
Port of Odesa,Ihor Tkachuk,Law Faculty of Lviv University,
Deseret Management Corporation,Mark H. Willes,Columbia University,
DevGen,Thierry Bogaert,University of Manitoba,Doctor of Philosophy
Cordish Company,Q18388195,Johns Hopkins University,
American Elements,Michael Silver,University of Southern California,
Borregaard,Arne Meidell,University of Oslo,
Bestinvest,Peter Hall,St Catharine's College,
Polyvore,Jess Lee,Stanford University,
RotoHog,Kelly Perdew,Pine View School,
Sears,Eddie Lampert,Yale University,
New Relic,Lew Cirne,Dartmouth College,
RotoHog,Kelly Perdew,"University of California, Los Angeles",
EXFO,Germain Lamonde,Polytechnic School of Montreal,
Pure Storage,Charles Giancarlo,Harvard University,
RotoHog,Kelly Perdew,UCLA Anderson School of Management,
Intermountain Health,Marc Harrison,Dartmouth College,Doctor of Medicine
Loopt,Sam Altman,Stanford University,
Just Eat,Jitse Groen,University of Twente,
Estes Express Lines,Rob W. Estes Jr.,College of William & Mary,
FlandersBio,Ann Van Gysel,Ghent University,Doctor of Philosophy
New York City Tourism + Conventions,Fred Dixon,University of Tennessee,
Musixmatch,Massimo Ciociola,University of Bologna,
Hipmunk,Q4679125,Massachusetts Institute of Technology,
Pure Storage,Charles Giancarlo,"University of California, Berkeley",
Gravity Payments,Dan Price,Seattle Pacific University,
RotoHog,Kelly Perdew,UCLA School of Law,
freelancer.com,Matt Barrie,Stanford University,
MidOcean Partners,Ted Virtue,Middlebury College,
Micromuse,Greg Brown,Rutgers University,
RotoHog,Kelly Perdew,United States Military Academy,
Raymour & Flanigan,Neil Goldberg,Brown University,
Nnakwu Ndubuisi,Seun Osewa,Obafemi Awolowo University,
Openreach,Katie Milligan,Strathclyde Business School,
Mathiesen Eidsvold Værk,Tron Erik Hovind,BI Norwegian Business School,
EXFO,Philippe Morin,Laval University,
Pure Storage,Charles Giancarlo,Brown University,
Pure Storage,Charles Giancarlo,Harvard Business School,
Micromuse,Greg Brown,Rutgers Business School – Newark and New Brunswick,
Sears,Eddie Lampert,Roslyn High School,
Newbridge Silverware,William Doyle,"Trinity College, Dublin",
Golden Wonder,Jack Rowell,St Edmund Hall,
freelancer.com,Matt Barrie,Stanford Graduate School of Business,
Loopt,Sam Altman,John Burroughs School,
iQor,Vikas Kapoor,Harvard University,
Just Eat,Peter Plumb,University of Birmingham,
HP Hood,John A. Kaneb,Harvard University,
iCIMS,Colin Day,Cornell University,
freelancer.com,Matt Barrie,Singularity University,
Rent The Runway,Jennifer Hyman,Harvard University,
GMR Group,Grandhi Mallikarjuna Rao,Andhra University,
EXFO,Philippe Morin,McGill University,
Endeavour Mining,Ian Cockerill,University of Oxford,
Newbridge Silverware,William Doyle,Newbridge College,
Just Eat,Peter Plumb,Arnold Hill Academy,
Grupo Poma,Ricardo Poma,Harvard University,
freelancer.com,Matt Barrie,University of Sydney,
Hipmunk,Q4679125,Pingry School,
freelancer.com,Matt Barrie,Stanford University School of Engineering,
GVK,Gunapati Venkata Krishna Reddy,Osmania University,
HP Hood,John A. Kaneb,Harvard College,
PostNL,Herna Verhagen,Radboud University,
freelancer.com,Matt Barrie,University of New South Wales,
freelancer.com,Matt Barrie,Macquarie University,
Kværner,Karl-Petter Løken,Norwegian Institute of Technology,Sivilingeniør
iQor,Vikas Kapoor,Princeton University,
Endeavour Mining,Ian Cockerill,Royal School of Mines,
Motor Oil Hellas,Vardis Vardinogiannis,Hellenic Naval Academy,
Sharecare,Jeff Arnold,Dunwoody High School,
Rent The Runway,Jennifer Hyman,The Leffell School,
"Glitch, Inc.",Anil Dash,East Pennsboro High School,
Odd Molly,Sara Fernstrom,"University of California, Los Angeles",
InterCall,Scott Etzler,Indiana University,
FlandersBio,Ann Van Gysel,University of Antwerp,Doctor of Philosophy
Mailchimp,Ben Chestnut,University of Georgia,
Eton Park Capital Management,Eric Mindich,Harvard University,
Pickard China,Eben Morgan,Duke University,
Khatam al-Anbia,Saeed Mohammad,Tarbiat Modares University,Master of Science in Engineering
iQor,Vikas Kapoor,Harvard Business School,
InterCall,Scott Etzler,Kellogg School of Management,
GVK,Gunapati Venkata Krishna Reddy,North-Eastern Hill University,
Grupo Poma,Ricardo Poma,Princeton University,
Palo Alto Networks,Nikesh Arora,Northeastern University,
Rocawear,Jay-Z,George Westinghouse Career and Technical Education High School,
Odd Molly,Sara Fernstrom,University of Southern California,
Rent The Runway,Jennifer Hyman,Harvard Business School,
OpenLink Software,Kingsley Uyi Idehen,University of Benin,
Endeavour Mining,Ian Cockerill,Chelsea College,
Rocawear,Jay-Z,Trenton Central High School,
Grupo Poma,Ricardo Poma,Harvard Business School,
Rent The Runway,Jennifer Hyman,New Rochelle High School,
Hobonichi,Shigesato Itoi,Q125120393,
Endeavour Mining,Sébastien de Montessus,ESCP Business School,
Lime Pictures,Lesley Douglas,University of Manchester,
Palo Alto Networks,Nikesh Arora,Indian Institute of Technology (BHU) Varanasi,
Norkring,Torbjørn Ødegård Teigen,Norwegian Institute of Technology,
EXFO,Germain Lamonde,Laval University,
Palo Alto Networks,Nikesh Arora,Boston College,
Endeavour Mining,Sébastien de Montessus,Lycée Janson-de-Sailly,
Pickard China,Eben Morgan,Asheboro High School,
"GREE, Inc.",Yoshikazu Tanaka,Nihon University,
METKA,Ioannis Mytilineos,Aristotle University of Thessaloniki,
Mailchimp,Ben Chestnut,Georgia Tech,
EXFO,Germain Lamonde,University of Western Ontario,
Lanco Infratech,Madhusudhan Rao Lagadapati,Wayne State University,
Hobonichi,Shigesato Itoi,Maebashi High School,
Palo Alto Networks,Nikesh Arora,The Air Force School,
Palo Alto Networks,Nikesh Arora,Banaras Hindu University,
Endeavour Mining,Sébastien de Montessus,École Saint-Martin-de-France,
SideCar,Sunil Paul,Vanderbilt University,
Vista Equity Partners,Robert F. Smith,Columbia Business School,
Teneo,Declan Kelly,Queen's University Belfast,
Kaggle,Anthony Goldbloom,Bialik College,
McDonald's Japan,Tamotsu Hiiro,Shizuoka University,
Top Rank,Bob Arum,Harvard Law School,
Stockholm Independent Bank,Jacob Wallenberg,Stockholm School of Economics,
Top Rank,Bob Arum,Erasmus Hall High School,
Toms Shoes,Blake Mycoskie,Martin High School,
Q9151401,Grzegorz Łukawski,AST National Academy of Theatre Arts in Kraków,
"Workday, Inc.",David Duffield,Samuel Curtis Johnson Graduate School of Management,
Société de Microélectronique et d'Horlogerie,Nicolas Hayek,Claude Bernard University Lyon 1,
Squidoo,Seth Godin,Tufts University School of Engineering,
Squidoo,Seth Godin,Williamsville East High School,
The Glover Park Group,Michael Feldman,Tufts University,
Windstream Holdings,Anthony W. Thomas,Wake Forest University,
Itoham Foods,Shibayama Ikurō,Iwate University,
Scottrade,Rodger O. Riney,University of Missouri,
Stripe,Patrick Collison,Massachusetts Institute of Technology,
Toms Shoes,Blake Mycoskie,Cox School of Business,
Stockholm Independent Bank,Marcus Wallenberg,Stockholm School of Economics,
Multiconsult,Grethe Bergly,Heriot-Watt University,
Q10419789,Hakon Leffler,Royal Institute of Technology,
Warner–Lambert,Jean Leguay,Lycée Lakanal,doctorate
Warner–Lambert,Jean Leguay,Lycée Montaigne,doctorate
Sempra,Jeffrey W. Martin,University of Texas at El Paso,
Toms Shoes,Blake Mycoskie,St. Stephen's Episcopal School,
Tange Associates,Noritaka Tange,Harvard University,
Fratria,Romuald Orzeł,University of Gdańsk,
Multiconsult,Grethe Bergly,INSEAD,
Scottrade,Rodger O. Riney,Trulaske College of Business,
Q10419789,Hakon Leffler,Uppsala University,
Ericsson Information Systems AB,Stig Larsson,Chalmers University of Technology,
"Workday, Inc.",David Duffield,Cornell University College of Engineering,
Stockholm Independent Bank,Marcus Wallenberg,Uppsala University,
"Workday, Inc.",Aneel Bhusri,Stanford University,
TRUSTe,Chris Babel,Northwestern University,
Q10444705,Lars Göran Josefsson,Chalmers University of Technology,
The Lightstone Group,David Lichtenstein,James Madison High School,
Sinar Mas Land,Muktar Widjaja,Concordia University,
Syntel,Rakesh Khanna,Narsee Monjee Institute of Management Studies,
Sempra,Jeffrey W. Martin,University of Miami School of Law,
The Lightstone Group,David Lichtenstein,Mir Yeshiva,
Stripe,Patrick Collison,Castletroy College,
Multiconsult,Grethe Bergly,University of Manchester Institute of Science and Technology,
Sempra,Jeffrey W. Martin,United States Military Academy,
ThalesNano,Ferenc Darvas,Budapest University of Technology and Economics,
Windstream Holdings,Jeffery R. Gardner,Purdue University,
Slack Technologies,Stewart Butterfield,University of Victoria,
Vista Equity Partners,Robert F. Smith,East High School,
Stockholm Independent Bank,Marc Wallenberg,Harvard Business School,
Slack Technologies,Stewart Butterfield,St. Michaels University School,
Warner–Lambert,Jean Leguay,École Libre des Sciences Politiques,doctorate
Wood Mackenzie,Neal Anderson,University of Florida,
"Workday, Inc.",Aneel Bhusri,Brown University,
Warner–Lambert,Jean Leguay,Lycée Louis-le-Grand,doctorate
Viking Range,"Fred Carl, Jr.",Mississippi State University,
Sourcenext,Matsuda Noriyuki,Osaka Prefecture University,
Meikō Gijuku,Kazuhito Yamashita,University of Tokyo,
Timpson,James Timpson,Durham University,
Warby Parker,Neil Blumenthal,The Wharton School,
Teneo,Declan Kelly,National University of Ireland,
SpareBank 1 SR-Bank,Benedicte Schilbred Fasmer,Norwegian School of Economics,MSc in Economics
Expo XXI,Bruce Robinson,Royal Central School of Speech and Drama,
The Emirates Group,Ahmed bin Saeed Al Maktoum,University of Denver,
Slack Technologies,Stewart Butterfield,Clare College,
Nongfu Spring,Zhong Shanshan,Hong Kong Metropolitan University,
UAL Corporation,Glenn Tilton,University of South Carolina,
Top Rank,Bob Arum,New York University,
Vista Equity Partners,Robert F. Smith,Cornell University,
State Bank of Southern Utah,Eric Schmutz,Southern Utah University,
Stockholm Independent Bank,André Oscar Wallenberg,Katedralskolan,
Windstream Holdings,Jeffery R. Gardner,College of William & Mary,
Warby Parker,Neil Blumenthal,Tufts University,
Sleep Country Canada,Steven Gunn,University of Western Ontario,
Teneo,Declan Kelly,University of Galway,
Warby Parker,Neil Blumenthal,Friends Seminary,
Squidoo,Seth Godin,Stanford Graduate School of Business,
Timpson,James Timpson,Uppingham School,
Kaggle,Anthony Goldbloom,University of Melbourne,
Sleep Country Canada,Steven Gunn,Queen's University,
Toms Shoes,Blake Mycoskie,Southern Methodist University,
City Developments Limited,Sherman Kwek,Boston University,
Matternet,Andreas Raptopoulos,University of Patras,
Matternet,Andreas Raptopoulos,Royal College of Art,
Holden,Mark Bernhard,Deakin University,
Holden,Mark Bernhard,Australian Institute of Company Directors,
CV Keskus OÜ,Povilas Kytra,Vilnius University,
Hyundai Motor Company,Chung Eui-sun,University of San Francisco,
Citroën,Vincent Cobée,École Nationale des Ponts et Chaussées,
Holden,Mark Bernhard,Monash University,
Mazda,Masamichi Kogai,Tohoku University,
Volkswagen,Thomas Schäfer,University of Mannheim,
Citroën,Vincent Cobée,École polytechnique,
Hyundai Motor Company,Chung Eui-sun,Korea University,
Citroën,Vincent Cobée,Harvard Business School,
Hyundai Motor Company,Chung Eui-sun,Whimoon High School,
DreamBox,Jessie Woolley-Wilson,University of Virginia,
Nissan,Makoto Uchida,Doshisha University,
Saab Automobile,Jan-Åke Jonsson,Uppsala University,
DreamBox,Jessie Woolley-Wilson,Harvard Business School,
Matternet,Andreas Raptopoulos,Imperial College London,
Group-IB,Ilya Sachkov,Bauman Moscow State Technical University,
Coriant,Shaygan Kheradpir,Cornell University,
CST Brands,Kimberly S. Bowers,Baylor University,
Coriant,Shaygan Kheradpir,Cornell University College of Engineering,
AXIS Capital,Vincent Tizzio,Adelphi University,
Kandi Technologies,Xiao-Ming Hu,North Carolina State University,
My Pillow,Mike Lindell,Chaska High School,
Polski Fundusz Rozwoju,Paweł Borys,SGH Warsaw School of Economics,
Top Global Limited,Hano Maeloa,Woodbury University,
CST Brands,Kimberly S. Bowers,University of Texas School of Law,
Hope International,Peter Greer,Messiah University,
Allegion,John H. Stone,United States Military Academy,
Landry's Seafood,Tilman J. Fertitta,Westchester Academy for International Studies,
Dropbox Inc.,Drew Houston,Massachusetts Institute of Technology,
Signet Bank,Roberts Idelsons,University of Latvia,
Hope International,Peter Greer,John F. Kennedy School of Government,
Duck Commander,Willie Robertson,University of Louisiana at Monroe,
Grey Technology,Nick Grey,Aston Fields Middle School,
Golden Agri-Resources,Franky Oesman Widjaja,Aoyama Gakuin University,
Karmelitánské nakladatelství,Stanislav Přibyl,Univerzita J.E.Purkyně v Ústí nad Labem Fakulta Sociálně Ekonomická,
Karmelitánské nakladatelství,Stanislav Přibyl,Catholic Theological Faculty of Charles University,
Triumph Group,Daniel J. Crowley,Bradley University,
Kandi Technologies,Xiao-Ming Hu,Peking University,
Grey Technology,Nick Grey,Ludlow College,
AtB,Janne Sollie,Norwegian College of Agriculture,
Křižík Works,František Křižík,Czech Technical University in Prague,
Duck Commander,Willie Robertson,Harding University,
M+W,Wolfgang Büchele,Ulm University,doctorate
Paymill,Mark Henkel,Technische Universität Berlin,
Paymill,Mark Henkel,Duale Hochschule Baden-Württemberg Mannheim,
CoStar Group,Andy Florance,Princeton University,
RedBalloon,Nick Baker,University of Brighton,
Dropbox Inc.,Drew Houston,Acton-Boxborough Regional High School,
M+W,Wolfgang Büchele,Ulm University,Diplom
RedBalloon,Nick Baker,Cornell University,
Calico,Arthur D. Levinson,"University of California, San Francisco",Doctor of Philosophy
"Oceanwide Holdings Co., Ltd.",Lu Zhiqiang,Fudan University,
Calico,Arthur D. Levinson,Princeton University,Doctor of Philosophy
Paymill,Mark Henkel,Freiberg University of Mining and Technology,
Bellamy's Organic,Andrew Cohen,University of Cambridge,
Calico,Arthur D. Levinson,University of Washington,Doctor of Philosophy
Nio Inc.,William Li,Peking University,
Persian Gulf Petrochemical Industries,Mohammad Shariatmadari,Shahid Bahonar University of Kerman,
Coinbase,Brian Armstrong,Bellarmine College Preparatory,
Hikma Pharmaceuticals,Said Darwazah,INSEAD,
Hikma Pharmaceuticals,Said Darwazah,Purdue University,
Bucharest Airports,Gabriel Bulgaru,Gheorghe Asachi Technical University of Iași,
Mossy Oak,Toxey Haas,Mississippi State University,
Oy Tillander Ab,Herbert Tillander,Gemmological Association of Great Britain,
Bogasari Flour Mills,Franciscus Welirang,London South Bank University,
CST Brands,Kimberly S. Bowers,Miami University,
Bellamy's Organic,Andrew Cohen,University of Melbourne,
Q11974935,Harald Johnsen,Norwegian University of Science and Technology,
Hope International,Peter Greer,Harvard University,
Augmentation Industries,Stephan Kaufmann,ETH Zurich,
Landry's Seafood,Tilman J. Fertitta,Texas Tech University,
Landry's Seafood,Tilman J. Fertitta,University of Houston,
Triumph Group,Daniel J. Crowley,Northwestern University,
Journatic,Brian Timpone,Marian Catholic High School,
Allegion,John H. Stone,Harvard Business School,
Coriant,Shaygan Kheradpir,Aiglon College,
Oy Tillander Ab,Herbert Tillander,Gemological Institute of America,
Ampere,Luca de Meo,Lycée Pierre Mendès France,
Ampere,Luca de Meo,Bocconi University,
Thomas Cook GmbH,Stefan Pichler,INSEAD,
Thomas Cook GmbH,Stefan Pichler,University of Augsburg,
HSN,Mindy Grossman,Manhattanville University,
HSN,Mindy Grossman,George Washington University,
Cray,Peter Ungaro,Washington State University,
Raytheon,Thomas Kennedy,"University of California, Los Angeles",
Raytheon,Thomas Kennedy,Rutgers University,
Halliburton,David J. Lesar,Wisconsin School of Business,
Halliburton,David J. Lesar,University of Wisconsin–Madison,
MGM Resorts International,William Hornbuckle,William F. Harrah College of Hotel Administration,
Radio Čas,Radim Pařízek,Masaryk University,
CELSA,Francesc Rubiralta i Vilaseca,Polytechnic University of Catalonia,
SunEdison,Nabeel Gareeb,Claremont Graduate University,
SunEdison,Nabeel Gareeb,Harvey Mudd College,
Academy of Robotics,William Sachiti,Aberystwyth University,
CompuGroup Medical,Frank Gotthardt,University of Bonn,
Academy of Robotics,William Sachiti,University of Edinburgh,
Academy of Robotics,William Sachiti,London School of Economics and Political Science,
Diffbot,Mike Tung,Stanford University,
Mercedes-Benz AG,Ola Källenius,Danderyds gymnasium,
Mercedes-Benz AG,Ola Källenius,Stockholm School of Economics,
Lenskart,Peyush Bansal,"Indian Institute of Management, Bengaluru",
Diffbot,Mike Tung,"University of California, Berkeley",
British American Tobacco,Jack Bowles,IPAG Business School,
Rheinmetall AG,Q111036212,University of Duisburg-Essen,Diploma of Engineering
CELSA,Francesc Rubiralta Rubió,Polytechnic University of Catalonia,
CELSA,Francesc Rubiralta Rubió,University of Pennsylvania,
XPeng,He Xiaopeng,South China University of Technology,
Infobip,Silvio Kutic,University of Zagreb,
Mercedes-Benz AG,Ola Källenius,University of St. Gallen,
SoulCycle,Melanie Whelan,Brown University,
Academy of Robotics,William Sachiti,Nvidia,
Pandora,Tim Westergren,Stanford University,
Q17748227,Anders Brosveet,University of Oslo,
KTM AG,Stefan Pierer,Technical University of Leoben,
Pacific Gas and Electric Company,Geisha Williams,Nova Southeastern University,
Pacific Gas and Electric Company,Geisha Williams,University of Miami,
Beyond Meat,Ethan Brown,Columbia University,
"ACTIVE Network, LLC",Darko Dejanovic,Northwestern University,
Beyond Meat,Ethan Brown,Columbia Business School,
DNV,Remi Eriksen,Norwegian Institute of Technology,
Cloudflare,Matthew Prince,University of Chicago,
NXP Semiconductors,Kurt Sievers,University of Augsburg,
NXP Semiconductors,Kurt Sievers,Ashridge Executive Education,
Cloudflare,Matthew Prince,Harvard Business School,
Elm Company,Abdulrahman Al-jadhai,University of Pittsburgh,
Elm Company,Abdulrahman Al-jadhai,Michigan State University,
Elm Company,Abdulrahman Al-jadhai,King Saud University,
Hertz Car Sales,Kathryn V. Marinello,Hofstra University,
Hertz Car Sales,Kathryn V. Marinello,State University of New York at Albany,
Hertz Car Sales,Kathryn V. Marinello,Lund University,
Q18409539,Sergey Andreyev,Academy of Pedagogical Sciences of the USSR,
Skillz,Andrew Paradise,University of Auckland,
3D Robotics,Chris Anderson,George Washington University,
3D Robotics,Chris Anderson,Walt Whitman High School,
AMC Global Media,Josh Sapan,University of Wisconsin–Madison,
Skillz,Andrew Paradise,University of Massachusetts Amherst,
DNV,Remi Eriksen,Rice University,
Cloudflare,Matthew Prince,Trinity College,
FXCM,Brendan Callan,London Business School,
Nextdoor,Sarah Friar,St Anne's College,
eToro,Yoni Assia,Open University of Israel,
Kiilto,Antti Solja,University of Helsinki,Master of Arts
eToro,Yoni Assia,Reichman University,
iLOQ,Heikki Hiltunen,Q18661571,
Gabriel Resources,Jonathan Henry,"Trinity College, Dublin",
Medier og Ledelse,Magne Lerø,BI Norwegian Business School,
NantHealth,Patrick Soon-Shiong,University of British Columbia,
NantHealth,Patrick Soon-Shiong,University of the Witwatersrand,
ClassPass,Fritz Lanman,Yale University,
SOHO China,Zhang Xin,University of Sussex,
SOHO China,Zhang Xin,University of Cambridge,
Kiilto,Antti Solja,Tampere Lyceum High School,Master of Arts
Degussa Sonne/Mond Goldhandel,Markus Krall,Nagoya University,
Degussa Sonne/Mond Goldhandel,Markus Krall,University of Freiburg,
Didi Dache,Cheng Wei,Beijing University of Chemical Technology,
SOHO China,Zhang Xin,Wolfson College,
Degussa Sonne/Mond Goldhandel,Markus Krall,University of Fribourg,
Try Reklamebyrå,Q11981010,Oslo Cathedral School,
Nextdoor,Sarah Friar,Stanford University,
Q19380550,Carl Otto Løvenskiold,Seattle University,
Hostelworld Group,Gary Morrison,University of Leeds,
Lippo Karawaci,Mochtar Riady,Nanjing University,
Telefônica Brasil,Christian Gebara,Stanford Graduate School of Business,
ManageEngine ServiceDesk Plus,Sridhar Vembu,Indian Institute of Technology Madras,
Libra Insurance Company Ltd,Q107100317,College of Management Academic Studies,
Telefônica Brasil,Christian Gebara,Fundação Getúlio Vargas,
Zoom Video Communications,Eric S. Yuan,"China University of Mining and Technology, Beijing",
ManageEngine ServiceDesk Plus,Sridhar Vembu,Princeton University,
Navient,John F. Remondi,Connecticut College,
Paycom,Chad Richison,University of Central Oklahoma,
Corteva,Chuck Magro,University of Waterloo,
Mediaworks Hungary,László Szabó,Medical University of Debrecen,
Zenefits,Parker Conrad,Harvard University,
H. Forman and Son,Lance Forman,Trinity College,
Curiosity Stream,Q102047595,Dartmouth College,
Navient,John F. Remondi,Xaverian Brothers High School,
Zoom Video Communications,Eric S. Yuan,Shandong University of Science and Technology,
LiveOps,Maynard Webb,Florida Atlantic University,
Corteva,Chuck Magro,Odette School of Business,
H. Forman and Son,Lance Forman,Haberdashers' Aske's Boys' School,
Q61740994,Oliver Steil,Ruhr University Bochum,Diploma of Engineering
Q20033035,Dariusz Stachura,Academy of Music in Łódź,
Entain,Kenny Alexander,University of Glasgow,
Altaba,Timothy Koogle,University of Virginia,
Delta Partners Group,Víctor Font i Manté,ESADE,
Altaba,Timothy Koogle,Mount Vernon High School,
Snap Inc.,Evan Spiegel,Art Center College of Design,
Altaba,Jerry Yang,Piedmont Hills High School,
Hubstaff,Jared Brown,Columbia University,
Eurosport,Laurent Prud’homme,Lycée Saint-Louis-de-Gonzague,
Altaba,Thomas J. McInerney,Yale College,
Snap Inc.,Evan Spiegel,Crossroads School for Arts & Sciences,
Altaba,Marissa Mayer,Stanford University,
Impossible Foods,Patrick O. Brown,University of Chicago,
Flutter Entertainment,Peter Jackson,Pembroke College,
Eurosport,Laurent Prud’homme,Emlyon Business School,
Snap Inc.,Evan Spiegel,Otis College of Art and Design,
Hubstaff,Jared Brown,Purdue University,
Abrdn,Jason Windsor,Repton School,
Luminoso,Catherine Havasi,Massachusetts Institute of Technology,
Walgreens Boots Alliance,Stefano Pessina,Polytechnic University of Milan,
Eurosport,Laurent Prud’homme,Paris Cité University,
Eurosport,Laurent Prud’homme,Panthéon-Assas University Paris,
Abrdn,Jason Windsor,Worcester College,
Media City Bergen,Anne Jacobsen,University of Bergen,
Altaba,Scott Thompson,Stonehill College,
Altaba,Tim Morse,Boston College,
Desktop Metal,Michael Mazen Jafar,University of San Diego,
Altaba,Marissa Mayer,Wausau West High School,
Yum China,Muktesh Pant,Indian Institute of Technology Kanpur,
Altaba,Ross Levinsohn,American University,
PKT,Supeno Surija,California Coast University,
Luminoso,Catherine Havasi,Brandeis University,
Empire State Realty Trust,Anthony E. Malkin,Harvard University,
Altaba,Carol Bartz,William Woods University,
Altaba,Terry Semel,Long Island University,
KBC Group,Koenraad Debackere,Ghent University,
Desktop Metal,Michael Mazen Jafar,University of Southern California,
Altaba,Ross Levinsohn,Tenafly High School,
Entain,Shay Segev,Kellogg School of Management,
Nikola Corporation,Trevor Milton,Utah Valley University,
Altaba,Carol Bartz,University of Wisconsin–Madison,
Altaba,Jerry Yang,Stanford University,
Entain,Jette Nygaard-Andersen,University of Copenhagen,
Empire State Realty Trust,Anthony E. Malkin,Choate Rosemary Hall,
Snap Inc.,Evan Spiegel,Stanford University,
Entain,Shay Segev,Tel Aviv University,
Altaba,Timothy Koogle,Stanford University,
Gromov Flight Research Institute,Pavel Vlasov,Ivan Kozhedub National University of the Air Force,
Gromov Flight Research Institute,Pavel Vlasov,Fedotov Test Pilot School,
Creative Commons,Catherine Stihler,The Open University,Master of Arts in Geography and International Relations
Creative Commons,Catherine Stihler,The Open University,Master of Literature in International Security Studies
Darktrace,Poppy Gustafsson,University of Sheffield,Bachelor of Science
Creative Commons,Catherine Stihler,The Open University,Master of Business Administration
Gromov Flight Research Institute,Vasily Molokov,Yeysk Higher Military Aviation Institute,
Gromov Flight Research Institute,Arseny Mironov,Moscow Aviation Institute,Doctor in Engineering
Gromov Flight Research Institute,Nikolai Stroev,Moscow Aviation Institute,Doctor in Engineering
Gromov Flight Research Institute,Konstantin Vasilchenko,Moscow Aviation Institute,Doctor in Engineering
Deccan Value Investors,Vinit Bodas,University of Texas at Austin,
Gromov Flight Research Institute,Aleksandr Chesalov,Bauman Moscow State Technical University,Doctor in Engineering
Gromov Flight Research Institute,Mikhail Gromov,Q16691456,
Gromov Flight Research Institute,Victor Utkin,Moscow State Aviation Technological University,Doctor in Engineering
Yorkville Advisors,Mark Angelo,Rutgers University,
Bed & Breakfast Europe,Hanny Arens,Fontys School of the Arts,
Gromov Flight Research Institute,Evgeny Pushkarskii,Riga Higher Military Aviation Engineering School,Candidate of Technical Sciences
Creative Commons,Catherine Stihler,Coltness High School,Master of Arts in Geography and International Relations
Creative Commons,Catherine Stihler,Coltness High School,Master of Literature in International Security Studies
Creative Commons,Catherine Stihler,Coltness High School,Master of Business Administration
Rezolve AI,Dan Wagner,University College School,
Czech Media Invest,Daniel Křetínský,University of Burgundy Europe,
Creative Commons,Ryan Merkley,University of Waterloo,
Gromov Flight Research Institute,Aleksandr Kobzarev,Moscow Aviation Institute,Doctor in Engineering
Gromov Flight Research Institute,Ivan Petrov,Zhukovsky Air Force Engineering Academy,
Czech Media Invest,Daniel Křetínský,Masaryk University,
Darktrace,Poppy Gustafsson,Hinchingbrooke School,Bachelor of Science
Gromov Flight Research Institute,Pavel Vlasov,Skolkovo Moscow School of Management,
Creative Commons,Catherine Stihler,University of St Andrews,Master of Arts in Geography and International Relations
Creative Commons,Catherine Stihler,University of St Andrews,Master of Literature in International Security Studies
Creative Commons,Catherine Stihler,University of St Andrews,Master of Business Administration
National Museum in Prague,Michal Lukeš,"Faculty of Arts, Charles University in Prague",
Morning Consult,Michael Ramlet,University of Minnesota,
Northbridge Financial Corporation,Silvy Wright,University of Toronto,
Aquarelle.com Group,Henri de Maublanc,Lycée Louis-le-Grand,
Gruner + Jahr,Q1711862,University of Cambridge,Master of Philosophy
Orient Electric,C. K. Birla,La Martiniere Calcutta,
Aquarelle.com Group,François de Maublanc,École nationale d'administration,
Sophia Genetics,Jurgi Camblong,Seaska,
Hawaii Gas,Alicia Moy,University of Miami,
CubeFabs,Q17141387,Baldwin Wallace University,
Gruner + Jahr,Q1711862,Heidelberg University,Master of Philosophy
InfoBeans Technologies Limited,Siddharth Sethi,Indian Institute of Management Indore,
Sophia Genetics,Jurgi Camblong,University of Pau and Pays de l'Adour,
Aquarelle.com Group,Henri de Maublanc,Lycée Saint-Louis-de-Gonzague,
Avin Oil S.A.,Yannis Vardinogiannis,Vassar College,
Cyclon LPC,Yannis Vardinogiannis,Vassar College,
Petroventure Holdings Limited,Yannis Vardinogiannis,Vassar College,
Sophia Genetics,Jurgi Camblong,University of Lausanne,
Edinburgh Partners Ltd,Alasdair Nairn,University of Strathclyde,
CubeFabs,Q17141387,Fu Foundation School of Engineering and Applied Science,
RTX,Greg Hayes,"Mitchell E. Daniels, Jr. School of Business",
Random House,Núria Cabutí,Oxford Brookes University,
Aquarelle.com Group,Henri de Maublanc,École polytechnique,
Petroventure Holdings Limited,Vardis Vardinogiannis,Hellenic Naval Academy,
OppFi Inc.,Todd Schwartz,Tulane University of Louisiana,
